commit_id,actual,predicted
864dcd380873b0f8429fdc1444b585aeb79f4390,False,False
6f7987bb40910cb651f9f2cd3d020bfb5e602db1,False,False
e6b187780169d3d46d660b8d82f01983339415d1,False,False
94fbe9583f8f215d71ba9a545909f666fdef9dd0,False,False
f19ad8ec292b3f00c9fd7d3cde5f396942769f7a,False,False
8107dd17a2f5735cc5740749057df6be3ab591d7,False,False
6cdf2fa6a46b37dbbdda6e9959f7e37f2e783933,False,False
733167906a8fead7ddf6069484efdae69ffb74bf,False,False
e39bfb17727471938eec89cef5afb04bfc57357b,False,False
e7d403e2c559cb23cb7b2e14cacebb5c7de43762,False,False
319b63a8f73ea3d01e260f28e5ff8d8eaf6c2b46,False,False
82e1893ee79dfa9a6825183295613482484fab78,False,False
9e6031019f6ae136ebd8bf5f520837dc36cce27f,False,True
1e13627fe0954dc20325ee71279a462f4f269f05,False,False
2cce25553799d0db8c960c8be414db4e91ab2ab2,False,False
8995bf52195927599b8a3b0524ec24f1fcbe0784,False,False
68b7fd07594cd811fbfbf88f9e98087edd07580c,False,False
3bd5fb77a73fed9fc6b9382ac5c1936782d5b5a8,False,False
9e87e148e145ac46797ad41d02f9d41c9f1dfea1,False,False
f2ccd1783065d471c891c83082eab9c76361c4c3,False,False
befeeace05f376ba269f286cb6e88c96c0f5ce0c,False,False
58bd503c465063e64046146cb193d261a811df9c,False,True
d86f7c9a2aba73831ca0455db28d6febe18a96a3,False,False
dbc57eb886a023670b9d7394f40d5bb83781b8af,False,False
8b5cb244167799966d09c36a6f93ef34fa255e83,False,True
3442359d00f546924708b06217f569b811560cfd,False,False
7a4673cc9b42d24f8a5e65f4ef1f48cb67ee4808,False,False
1d25d79752a61d71cb81cd90b68ac4a70687fd48,False,False
f762cabca3884adb964bf9f4e42106900a8c0d1b,False,False
c1967590d1df0307f1f3370f8c804ceaef0dc5dc,False,False
e3fca7a0c86c8504deb888935679ef404b317b40,False,False
9008ac5c1da6c15191ac7063c5b7720392c5d7fc,False,False
7b0746bd1e40068d666814a8a8448c318d4c39b2,False,False
19340d1fbf3093bd99886d68269ae0b75acdc13f,False,False
e3784b7f509af7aa1b600448e05ff6de27bb9134,False,False
04f02acf325c99d4fde1bf71c7a3a37835d3cb88,False,False
63101802cff6328e50b993d0e1eb7df057346199,False,False
9f46241c97189dabbbdab148dd5617ed0febda09,False,False
fa81e6e925fec113b207dd4369be455bd7bbfa2b,False,True
a2115a136d42cfb9862c94330195ed68f4f53abe,False,False
