commit_id,line,line_level_label,count,line_score,row
01fce2f545f885e458013caba9b8c2e34b425b90,List<String> attrs = new ArrayList<>();,1,5,1.0,1
01fce2f545f885e458013caba9b8c2e34b425b90,List<String> attrs = new ArrayList<>();,1,5,1.0,2
01fce2f545f885e458013caba9b8c2e34b425b90,List<String> objectAttrs = new ArrayList<>();,0,4,0.8,3
01fce2f545f885e458013caba9b8c2e34b425b90,List<String> contextAttrs = new ArrayList<>();,0,4,0.8,4
01fce2f545f885e458013caba9b8c2e34b425b90,List<String> objectAttrs = new ArrayList<>();,0,4,0.8,5
01fce2f545f885e458013caba9b8c2e34b425b90,List<String> contextAttrs = new ArrayList<>();,0,4,0.8,6
01fce2f545f885e458013caba9b8c2e34b425b90,import org.apache.catalina.core.StandardContext;,0,1,0.2,7
01fce2f545f885e458013caba9b8c2e34b425b90,"objectAttrs.add(""className"");",0,0,0.0,8
01fce2f545f885e458013caba9b8c2e34b425b90,"attrs.add(""className"");",1,0,0.0,9
01fce2f545f885e458013caba9b8c2e34b425b90,"fakeAttributes.put(StandardContext.class, contextAttrs);",0,0,0.0,10
01fce2f545f885e458013caba9b8c2e34b425b90,"contextAttrs.add(""source"");",0,0,0.0,11
01fce2f545f885e458013caba9b8c2e34b425b90,// Ignore attribute added by Eclipse for its internal tracking,0,0,0.0,12
01fce2f545f885e458013caba9b8c2e34b425b90,"fakeAttributes.put(Object.class, objectAttrs);",0,0,0.0,13
01fce2f545f885e458013caba9b8c2e34b425b90,"contextAttrs.add(""source"");",0,0,0.0,14
01fce2f545f885e458013caba9b8c2e34b425b90,"fakeAttributes.put(Object.class, attrs);",1,0,0.0,15
01fce2f545f885e458013caba9b8c2e34b425b90,"attrs.add(""className"");",1,0,0.0,16
01fce2f545f885e458013caba9b8c2e34b425b90,"fakeAttributes.put(StandardContext.class, contextAttrs);",0,0,0.0,17
01fce2f545f885e458013caba9b8c2e34b425b90,// Ignore attribute added by Eclipse for its internal tracking,0,0,0.0,18
01fce2f545f885e458013caba9b8c2e34b425b90,"fakeAttributes.put(Object.class, objectAttrs);",0,0,0.0,19
01fce2f545f885e458013caba9b8c2e34b425b90,"objectAttrs.add(""className"");",0,0,0.0,20
01fce2f545f885e458013caba9b8c2e34b425b90,"fakeAttributes.put(Object.class, attrs);",1,0,0.0,21
