commit_id,line,line_level_label,count,line_score,row
0a6b890c4cde078866f7bb7056300c5a367542a7,Entity entity = new Entity();,1,3,1.0,1
0a6b890c4cde078866f7bb7056300c5a367542a7,entity.setType(new String[] { fmd.getCollectionCeilingEntity() });,1,2,0.6666666666666666,2
0a6b890c4cde078866f7bb7056300c5a367542a7,entity.setType(new String[] { adornedList.getAdornedTargetEntityClassname() });,1,2,0.6666666666666666,3
0a6b890c4cde078866f7bb7056300c5a367542a7,entity.setType(new String[] { fmd.getTargetClass() });,1,2,0.6666666666666666,4
0a6b890c4cde078866f7bb7056300c5a367542a7,ppr.getEntity().setType(new String[] { fmd.getTargetClass() });,0,1,0.3333333333333333,5
0a6b890c4cde078866f7bb7056300c5a367542a7,.withEntity(new Entity());,0,0,0.0,6
0a6b890c4cde078866f7bb7056300c5a367542a7,ppr.getEntity().setType(new String[]{fmd.getCollectionCeilingEntity()});,0,0,0.0,7
0a6b890c4cde078866f7bb7056300c5a367542a7,ppr.getEntity().setType(new String[]{adornedList.getAdornedTargetEntityClassname()});,0,0,0.0,8
0a6b890c4cde078866f7bb7056300c5a367542a7,ppr.setCeilingEntityClassname(ppr.getEntity().getType()[0]);,0,0,0.0,9
0a6b890c4cde078866f7bb7056300c5a367542a7,.withEntity(entity);,1,0,0.0,10
