commit_id,actual,predicted
90d0666b4762ba47947cc74cdc1b70d432f913dd,False,False
dd105948d13d5c6eeb783ce6620383bfa94cf762,False,False
13c5e6fda520996c68e6635f68955939307286e7,False,False
e89b3fba723028feba755cc0568722f4fa8b529f,False,False
e25dd8dbea4e646ea95ee3437a7d7bb72ced70d6,False,False
d9c6a9c08f80e80b35725f636a25c4fece1844ca,False,False
e9ccc706aa59e96db60d5933ffd7b00725999244,False,False
779ec945d6599a7ffe15d3f1f1516c8b6673b9ae,False,False
7b78dbd6aebe1e6e882087d981d0a823635afec2,True,False
da9ea29f5f320602007d0fc8dce7491274114354,False,False
dd807969092b00e7be5852584f1b6e7bb13fbdd9,False,False
7a2cb7393784ace940d55df87dc376e4f2da5e84,False,False
d802ddf5b3b374313fb97c1b189c1424ef4da58e,False,True
357b4a869c7683db96d74af9fadf5b09f0bcffa7,True,False
c76e7358df9ecfe7d9ed05410f76c22fca620b0f,False,False
10b1f260cadb2b8261005a51762e7dd1e32ff3a1,False,False
f2ee3782a5606266731f78e887c96858263a9f4b,False,False
bd766e5766523760ad79b5e27b1190dcbc44a337,False,False
c56af61e6f8d7f0fe4f958cdcd1b9f06c12032dc,False,False
d85a7aa6597b0137eb2d599f8e45d01efa31b28c,False,False
deae171ef3e24ceef732beac890c18147b0957d9,False,False
ffdb88611bf9a9f554563f690f84aaac6933f611,False,False
bbfeaa9627e09a6187f352a8707c70c1a51e6a05,False,False
c4106e4488ebe3cc77e451828d38b805fe88bf9f,False,False
fba60a4ea8ec1712e52f18a43ab5c104243e3f36,False,False
e9b996bee78f48b88ab0955140c875b187b25e24,False,False
7301a84b6b2e445ce325b7e6737c62c216cbe831,False,False
83d8994bddc2613c2800ec8552c56c5674672d5c,False,False
add009af250908c3bcc44375f79840e729d18c07,True,False
e3648e64230d342de339ea7d2bccdccacfb7a28c,False,False
74ead2e49dab1e4bfa8b64b72507179219480e1a,False,False
32d822990f6110271fd85c9b5cb6e5aee7cdae85,True,False
5e64d0b453f37ef18f0f56676da15d2db7f12175,False,True
f0dffaf1a56514af2d8294dcfd9ec590bab7fd60,False,False
551e2db510c58ac89c64950de1bec8b026f1e9fe,False,False
