fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,contains_bug,author_date_unix_timestamp,commit_type,commit_id
False,4,13,58,5.310766856,7849,0,0,1,0,0,28.5,0,3,False,1302724246,0,f711d4447fbb7c3adbb7dbe831e65355f20bb0c8
True,1,1,1,0,6,8,39,1,0.002511574,1,58,399.156682,4,False,1302724463,0,bb64568c9f4678b450081ecac3eb631fa086d92e
False,2,18,42,4.538675957,1710,0,9.761904762,2,0.013799052,1,20.5,0.06489158,40,False,1302774320,0,6354f5b2d4108e3e8e32dc2c96d7406fd5518178
False,1,1,1,0,1,0,451,2,0.019837963,2,42,51.4084014,1,False,1302776034,0,73a354b7c8378724ccfadc16ae643789074ed55f
False,2,2,2,0.503258335,9,0,318.5,2,0.014155093,4,43.5,39.43071891,2,False,1302776400,0,9e49c488503cbd60c8815d65e9af601845377299
True,1,1,1,0,10,11,37,1,0.608402778,2,45,2.643647985,3,False,1302777029,0,f0a24f994359a030ec7968ee203b1aa21d38b95a
False,6,12,30,4.235121571,1764,6,25.2,2,0.062059414,10,73.5,2.408336242,6,True, 1302777405,2,7b2e7cf519ceb2b828cc9c3f0154454d8b31d918
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1302777535,0,526ebc61d8d61f1b23305ea178ed620e22ce0bc4
False,1,1,1,0,2,4,28,2,0.037766204,1,46,27.47870058,42,False,1302777583,0,526ebc61d8d61f1b23305ea178ed620e22ce0bc4
False,2,2,2,0.92909503,79,40,41.5,2,0.02291088,4,89.5,11.41184643,7,False,1302781364,0,ef92a2c3ac318cb214f9b18caf4ca99c99f57347
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1302781432,0,0f7b199a1f975e0b43c219f92145c8254a2d7f8a
False,2,3,3,0.970623179,53,2,217.6666667,2,0.081392747,7,48,7.577320994,4,False,1302787451,0,ef4ad4b052116a23e64c154b64bacf47e0fff2bd
False,1,5,18,3.763231526,521,64,22.5,2,0.063744213,9,99.5,3.529710568,39,True, 1302788420,2,4c2c020924b0c1ba1bc677ee45e5de43ddfdfddd
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1302788429,0,4c2c020924b0c1ba1bc677ee45e5de43ddfdfddd
False,3,3,3,0.636924193,47,36,256.3333333,2,0.346516204,3,110,2.111385698,1,False,1302790944,0,3e694f5199e17694419582232ae1842491941170
True,1,1,1,0,2,2,18,2,0.214803241,1,112,5.655423245,2,False,1302792879,0,714b63c6398ae17933626d07cd3a2ae449322b93
False,1,2,3,1.409516441,326,0,0,1,0,0,51,0,2,True, 1302797071,1,4f4a5539ef2ae6e5922c67a771682d2d93cb0d0d
False,3,8,16,3.563467403,808,39,41.3125,2,0.013974248,9,60.5,0.963596128,5,False,1302797110,0,4f4a5539ef2ae6e5922c67a771682d2d93cb0d0d
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1302797206,0,e7310aa699eec975be82188be6daf8310ed75973
