fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,contains_bug,author_date_unix_timestamp,commit_type,commit_id
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1195002354,0,8f3c96c47d5ba7d0f2ca31b8ebc13da634a9df19
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1195003702,0,73f298c661781e7e5eefa0a638954798d596e21e
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1195049108,0,b19e3e7b24b7e3d153890a1a9cbf9566d7bb2452
False,1,2,7,1.259080257,260,0,0,1,0,0,3,0,6,False,1195077690,0,868895d2e3020bd2eba3d51026711a4ee0c69846
False,2,4,14,2.259080257,260,260,18.57142857,1,0.0028125,7,13.5,33.42517007,13,False,1195078176,0,3c0008740d340ec7f08c4a4b65ba7b2738416b40
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1195135503,0,81c7cc8cdece7e2a414cbfd9ba4c182c59479e55
False,1,1,3,1.148834854,9,5,9.666666667,1,1.869340278,3,22,1.326912718,9,False,1195239687,0,f43029c590fa1723d18c4a56a8d6b4a99efb57d1
False,1,1,1,0,2,2,2,1,0.006921296,2,24,145.4816054,10,False,1195240285,0,a9be04e4b08afa03ba48e86d19b537451c629e01
False,1,1,2,0.904381458,25,0,0,1,0,0,25.5,0,12,False,1195240937,0,25ab49934f13022f04bdc16aa138b2338757ab0e
False,2,4,18,2.695727042,289,289,16.05555556,1,0.421484053,13,35.5,56.78019544,8,False,1195241081,0,b8f453268ae8c3ef2a937b16afd2e1b8364c00ed
False,1,1,1,0,6,2,8,1,0.146724537,1,45,7.815492624,9,False,1195253758,0,4ec48f55a8f973622046cb01aff2a93c2003c56a
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1195506089,0,d73aa7129dce1d8ca72a3a7e9c7faf0ab2144117
False,1,1,3,1.148834854,6,8,11,1,3.07087963,3,47,1.199001975,12,False,1195506405,0,917e6b6cf0f779346724f49d4882668e4056bdae
False,1,1,3,1.584962501,99,0,0,1,0,0,50,0,15,True, 1195507776,1,8ea9bd58a3e28f4a0962d1eb724a99a5fb9e697e
False,1,1,3,1.380887946,171,0,0,1,0,0,53,0,18,True, 1195509637,1,97a6e80d4f28c61ae3a93f3e2fc4efd1a54f8241
False,1,1,3,1.384431504,12,0,57,1,0.042962963,3,56,15.22413793,21,False,1195513349,0,89d6e43763faeb25b30cd4d0be0e9bc5754d8252
False,1,1,3,1.584962501,6,0,33,1,0.076990741,3,59,8.937462417,24,True, 1195514428,1,28c409ddab9d8d60fec49dcc87cb0dfb5ef04586
False,1,2,3,1.491340908,168,0,0,1,0,0,62,0,27,True, 1195517821,1,f86eff78930b81992196428d408712f5ab485bf8
False,1,1,1,0,19,0,107,1,0.665740741,2,64,2.502086231,28,False,1195570869,0,234fdec4be1110f6f6582ffb4b603e667fea1518
False,1,9,19,3.988759099,477,476,26.15789474,1,0.469749635,18,74,1.213059932,47,True, 1195597186,1,1c328a11ad6b14e26dfbf9281b6971017a7eeb21
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1195597346,0,abc1348d9b08745b89a97a438bdefa216873a6d8
False,1,2,3,1.190296995,176,21,56.33333333,1,0.160428241,3,85,4.809248972,50,False,1195611047,0,4f7b2aaabd87ebd7d0e98962ebcacda3a9fc6f9d
False,1,2,3,1.475164107,106,12,12.33333333,1,0.205200617,2,88,0.874808854,53,False,1195664235,0,98e6915da7bcbe61fd51dc66face054ce6b073ac
False,1,1,1,0,43,2,150,1,0.637430556,2,90,2.568798344,54,False,1195666121,0,0e02b8939c452a7cccbcef7e4332abdfba1564e1
False,1,1,1,0,32,0,0,1,0,0,91,0,55,True, 1195673464,1,44c7a44380691a82250163c6ab2c3703bb7aaf7a
False,1,1,1,0,31,0,0,1,0,0,92,0,56,False,1196557078,0,ad2b73cc9467aad40028a00a2ac211e6a8fbec2f
False,1,1,3,1.579871302,126,0,0,1,0,0,94,0,59,True, 1196557288,1,8b6d97f8e0f9b234ec9a0a3aebc4dee285a46365
False,1,1,4,1.537194799,92,33,50.5,1,8.818098958,3,97.5,0.788982325,63,True, 1196613031,1,fa9be80d0e10e22cfdb6cf04d808fc1a2c729f70
False,1,1,2,0.309543429,62,10,84.5,1,11.2987037,5,100.5,1.0676186,65,False,1196613849,0,7576eefa26b0d91269c83af6148eff77705b37f1
False,1,1,1,0,41,0,0,1,0,0,102,0,66,True, 1196614120,1,aa2dea58de4392ab1eddc7ea1bf00ff55aa9c2db
False,1,1,1,0,34,0,0,1,0,0,103,0,67,False,1196614316,0,8dca3848e5eb933e75a60f5dc0c17ebdba7e9519
False,1,1,5,1.810320003,759,0,0,1,0,0,106,0,72,False,1196619427,0,193f29a0b5308205df0ed8bcbd6f2d8e3be34439
False,1,1,1,0,28,0,0,1,0,0,109,0,73,False,1196619578,0,2b9b7d393dec985ddcfdccbddf189ed3f874e834
False,1,1,1,0,161,0,0,1,0,0,110,0,74,True, 1196620789,2,e16ef8f95b9d926ecf7d1153c81a087f6c7c45d9
False,1,1,1,0,28,0,0,1,0,0,111,0,75,False,1196620878,0,83e4fffaeaea52ddee9b163c87bd852b5b9ae321
False,1,1,1,0,48,0,0,1,0,0,112,0,76,False,1196627134,0,157991565c50ca6f1696e933a8283e80303b50a4
False,1,1,3,1.287697567,217,161,53.66666667,1,0.068070988,1,114,5.896848787,79,False,1196638433,0,353c6b0378946e29c2b3f9b7ec64620b79ef779c
False,1,1,3,1.255754158,298,0,0,1,0,0,117,0,82,False,1196638503,0,71e6cc4fb246492279f11c596df6290850d03b25
False,1,1,2,0.930586129,104,0,0,1,0,0,119.5,0,84,True, 1196638764,1,b986d75233d90494eb0ed412f750d03f6c7ff423
False,1,1,2,0.999839302,134,0,0,1,0,0,121.5,0,86,False,1196642615,0,4a36bf08cb1e89f361eecd05cc194bf2f96b6125
False,1,1,1,0,4,2,160,1,0.282314815,1,123,4.542144966,87,False,1196643819,0,3e5d4b5c45026c3459f2b053a4bdf3ecb612b3d5
False,1,1,1,0,2,1,191,1,0.06275463,1,124,16.93507931,88,False,1196643855,0,3e5d4b5c45026c3459f2b053a4bdf3ecb612b3d5
False,1,3,4,1.800273833,229,0,0,1,0,0,126.5,0,92,True, 1196645097,1,8ce56b14b04a28de5708a54950e67b3e2c31a4a8
False,1,1,1,0,68,0,191,1,11.33202546,3,129,1.088245478,93,False,1196645208,0,c18747d4972e29f634efddc540bfe3418cdf9e04
False,1,1,1,0,85,0,0,1,0,0,130,0,94,True, 1196645993,2,eac10eb0c85f1c83baf8ebd42d488857d5c80d68
False,1,1,3,1.583640554,263,0,0,1,0,0,132,0,97,False,1196646506,0,e2a9f31d5807f132847cbb35ac77eb9e9beb8ce0
