fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,contains_bug,author_date_unix_timestamp,commit_type,commit_id
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1229715109,0,0b84ec28bdb41d9e5bbf8eef4f73ab09055e24c9
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1229715923,0,2bf902b5f0c7e6ad29a515406d92a0307b66e1aa
False,1,7,17,0.844780553,3310,0,0,1,0,0,8,0,16,False,1229716040,0,c89a41d0b89c1cf5467b8eb5948132005b8301ee
False,1,3,3,0,14,16,5.333333333,1,10.06725694,3,1,0.694258868,2,False,1230585851,0,59f3abc25a731e1d901416b0c06c88aa6fae1477
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1230586083,0,794d989acdc122ce0f1809c6380763945bd12392
False,1,1,2,0.828055725,23,0,0,1,0,0,3.5,0,1,False,1230586097,0,794d989acdc122ce0f1809c6380763945bd12392
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1230586255,0,9cdca8df970dea8842890d2daa124be78e3aa376
False,1,1,2,0.828055725,23,0,0,1,0,0,5.5,0,1,False,1230586268,0,9cdca8df970dea8842890d2daa124be78e3aa376
False,1,2,2,0,0,40,20,1,10.08429398,2,7.5,1.07437308,4,False,1230587323,0,4b334db830c72790fa8eb265830e9706c68d13f4
False,1,1,1,0,1,0,0,1,0,0,9,0,2,False,1230587371,0,4b334db830c72790fa8eb265830e9706c68d13f4
False,1,1,1,0,0,0,0,1,0,0,10,0,2,False,1230588150,0,57839f49d189d99df4a8f27fcf9fdd5f20a07f6c
False,1,1,1,0,0,0,0,1,0.007881944,1,11,127.8722467,3,False,1230588831,0,19354ed9c3f0616fe6303183e4d4de17eeca53e7
False,1,9,11,3.197622532,536,6,0.545454545,2,0.077742003,1,5,1.972153662,10,False,1230659983,0,ed9ccaee0f77967b401f57d0cd975729a674de42
False,1,4,6,2.212073613,439,0,0,1,0,0,13.5,0,16,False,1230663758,0,594c46a328b7fb15475f90fe034d06127d2ef2a8
False,1,2,5,2.084743693,48,4,17,2,0.032194444,3,19,10.31837791,21,False,1230664619,0,d8a646f6819a212257741cc7071998093a34b674
False,1,4,83,0,0,0,0,1,0,0,63,0,104,False,1230670187,0,80efb234a8b3b2eec04c89313b38b589a089cdfb
False,1,2,4,1.884313528,13,0,20.5,2,0.094606481,6,106.5,6.505260582,108,False,1230672793,0,d6a459082f1085aeedd5895b46ca7a1fd3a54b00
False,1,1,1,0,1,23,56,2,0.175775463,1,109,6.689076184,109,False,1230675170,0,c9914f1f04bd7d29ad9b75d53ea89fb346418e42
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1231355407,0,539acc6e622672d2fb011702ad47bdaaf35a7c79
False,1,11,25,3.12110604,372,0,0,1,0,0,24,0,24,False,1231355455,0,539acc6e622672d2fb011702ad47bdaaf35a7c79
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1231355542,0,f55bcdc645e2627d1cd9fe236512d9d2abe241f3
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1231431405,0,fe8093670253a434c01cc5e5be3c3b137a36f55a
False,1,18,120,2.093509399,3519,0,0,1,0,0,169.5,0,119,False,1231431457,0,2e24b4980c2c1dc76c56bd27272f5e8c52ad04e7
False,1,1,2,0,0,0,0,1,0.000300926,2,230.5,2493.307692,121,False,1231431483,0,2e24b4980c2c1dc76c56bd27272f5e8c52ad04e7
False,1,1,1,0,1,1,236,1,0.034513889,1,0,0,0,False,1231434439,0,4d70d3218ca3af8660c14e9f8781e86cf4fd9e0e
False,1,10,12,3.262708369,374,8,27.5,1,0.073686343,6,237.5,3.182092973,133,False,1231447333,0,939598ee321b80c8272358a9967ab2bb05fb0bbb
False,1,2,3,1.556656707,2,5,47.66666667,1,0.15037037,4,245,4.705906184,136,False,1231449741,0,d87480636c259276e2c0e9e97c0bf3ffd578d661
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1231457577,0,33a2ee33335fa6e11fa6ed6bee18831da789ecbf
False,1,10,47,3.346322924,306,0,0,1,0,0,60,0,46,False,1231457596,0,33a2ee33335fa6e11fa6ed6bee18831da789ecbf
False,1,6,6,1.815604732,38,5,22,1,0.131907793,7,249.5,3.358415547,142,False,1231457834,0,4a949c4db088559c5752769e2e3d9073cc7808b9
False,1,13,20,3.739529367,152,45,10.95,1,1.658020833,9,93.5,1.12885953,66,False,1231775936,0,b9bcdb7dfc7f81902ddae42ed421718e5472558b
False,1,1,1,0,1,1,43,1,3.805462963,1,1,1.262780116,1,False,1231776125,0,d49cf52457e8d999710d6c3c1c22028a8028c435
False,1,5,8,2.621928164,288,1,10.375,2,0.921961806,5,5.5,0.760580454,9,False,1231776464,0,8ef694bd5f45cbe4f2b9894b76ef9b9da6c9b8b2
False,1,1,3,1.42498937,13,25,27,2,0.171724537,3,11,4.55867089,12,False,1231791301,0,94c30a370c5741b5679b020a7444c8dc1addfebf
False,1,1,1,0,5,0,0,1,0,0,13,0,13,False,1231791326,0,94c30a370c5741b5679b020a7444c8dc1addfebf
False,1,1,1,0,7,11,78,2,0.172175926,4,14,6.808012907,14,False,1231791340,0,9e3acd5857fbc8f08a9ff2e1937de25a00f5d030
False,1,1,1,0,17,8,70,2,0.172789352,1,15,6.787393663,15,False,1231791393,0,9e3acd5857fbc8f08a9ff2e1937de25a00f5d030
False,1,1,1,0,9,6,31,2,0.17287037,1,16,6.784681307,16,False,1231791400,0,9e3acd5857fbc8f08a9ff2e1937de25a00f5d030
False,1,4,7,2.509711902,147,32,39.71428571,2,0.701137566,13,20,1.549432188,23,False,1231870202,0,3ea8df85982c1fca7e11e6c4b6f2a498fb4b2a04
False,1,5,7,2.069719182,119,37,38,2,0.47525463,14,27,2.781926713,30,False,1231880373,0,38972249dd4f1904051397656642594e08d434d8
False,1,3,4,0.852405179,17,1,70.5,2,2.522355324,5,105.5,1.17303945,3,False,1231884400,0,d212a54bf526a40fa9df947b68a48d90b1f69276
False,1,6,12,2.744183396,191,14,36.91666667,2,1.538058449,24,36.5,1.469483199,42,False,1231955538,0,c87d4d962e72c97aba4a2878c18e5da4ac389fe4
False,1,2,2,0.918295834,1,2,30,2,0.06630787,4,43.5,12.3108745,44,False,1231961267,0,d64091e2ce37fcfcd13ec055387a06744f343a95
False,1,1,1,0,1,0,75,1,6.00587963,3,45,1.166503504,45,False,1231968649,0,36205ea953ae7c449b99f112dd2330d2b042bbee
False,1,3,7,2.385772843,184,2,20.42857143,3,0.067281746,15,111,4.202510848,10,True,1231969102,2,030f7491830c21562e95a0ca269e03cd9775adc6
False,1,6,6,1.659666665,126,17,45.5,3,0.100873843,17,48.5,4.272049298,51,False,1231971001,0,c6bed18bacb45e7004adb569b7543260d1410687
False,1,1,1,0,13,13,59,3,0.011215278,2,52,90.16408669,52,False,1231971970,0,3bfb83b5868b09b3a57da01d983980a54a942352
False,1,1,1,0,1,1,108,3,0.072141204,10,17,14.86170383,0,False,1231977234,0,2c61abd27197845044e7b99b2b9b7d573c94dd7b
False,1,1,1,0,9,7,106,2,0.927465278,5,53,2.07820748,53,False,1232035671,0,e54737db97729d30a62014edbfa3415429fcdb2e
False,1,1,1,0,13,4,51,2,1.915578704,1,54,1.522035455,54,False,1232035708,0,6d1e5e42a92c3f449b604268d096c7572552ee96
False,1,1,1,0,2,2,108,3,0.677060185,11,55,2.476973572,55,False,1232035732,0,6d1e5e42a92c3f449b604268d096c7572552ee96
False,1,1,4,1.855388542,21,15,37.5,3,0.849953704,15,57.5,1.572549265,59,False,1232035756,0,6d1e5e42a92c3f449b604268d096c7572552ee96
False,1,3,7,2.380429518,189,2,23.85714286,3,0.083397817,23,118,3.526253434,17,False,1232052561,0,a6664898d5a89a967e56af85b366234536987cdf
False,1,1,1,0,31,0,0,1,0,0,122,0,18,False,1232052576,0,a6664898d5a89a967e56af85b366234536987cdf
True,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1232061908,0,8bf5fdc5470d84c75fb52466e503989754ba86bf
False,1,11,55,5.181841508,3429,0,0,1,0,0,150,0,54,False,1232061969,0,deb567919a351621d47a3cbc069f0e81fb0089ce
