line,commit_id,count,line_level_label
"|| ((tagInfo != null) && !(tagInfo.getTagLibrary().getRequiredVersion().equals(""2.0"")",a4c1b0b3466e9246995504c29cf7e3f1da7f8146,6,1
"|| (elExpression  && (!pageInfo.isELIgnored() || (!""true"".equalsIgnoreCase(pageInfo.getIsELIgnored()) && checkDeferred && deferred)));",a4c1b0b3466e9246995504c29cf7e3f1da7f8146,6,1
boolean expression = runtimeExpression || elExpression;,a4c1b0b3466e9246995504c29cf7e3f1da7f8146,3,0
if (deferred && !tldAttr.isDeferredMethod() && !tldAttr.isDeferredValue()) {,a4c1b0b3466e9246995504c29cf7e3f1da7f8146,3,0
boolean checkDeferred = !pageInfo.isDeferredSyntaxAllowedAsLiteral(),a4c1b0b3466e9246995504c29cf7e3f1da7f8146,3,1
if (deferred && !tldAttrs[j].isDeferredMethod() && !tldAttrs[j].isDeferredValue()) {,a4c1b0b3466e9246995504c29cf7e3f1da7f8146,3,1
if (!runtimeExpression && !pageInfo.isELIgnored()) {,a4c1b0b3466e9246995504c29cf7e3f1da7f8146,2,0
if (elExpression && deferred) {,a4c1b0b3466e9246995504c29cf7e3f1da7f8146,2,0
if (elExpression && !deferred) {,a4c1b0b3466e9246995504c29cf7e3f1da7f8146,2,0
|| tldAttr.isDeferredMethod() || tldAttr.isDeferredValue()) { // JSP 2.1,a4c1b0b3466e9246995504c29cf7e3f1da7f8146,2,0
if (!deferred && !tldAttr.canBeRequestTime()) {,a4c1b0b3466e9246995504c29cf7e3f1da7f8146,2,0
&& (tagInfo == null,a4c1b0b3466e9246995504c29cf7e3f1da7f8146,2,1
"|| tagInfo.getTagLibrary().getRequiredVersion().equals(""1.2""))))) {",a4c1b0b3466e9246995504c29cf7e3f1da7f8146,2,1
"&& !(tagInfo.getTagLibrary().getRequiredVersion().equals(""2.0"")",a4c1b0b3466e9246995504c29cf7e3f1da7f8146,2,1
"|| tagInfo.getTagLibrary().getRequiredVersion().equals(""1.2""));",a4c1b0b3466e9246995504c29cf7e3f1da7f8146,2,1
boolean deferredValueIsLiteral = false;,a4c1b0b3466e9246995504c29cf7e3f1da7f8146,2,1
} else if (checkDeferred && ((ELNode.Root) node).getType() == '#') {,a4c1b0b3466e9246995504c29cf7e3f1da7f8146,2,1
boolean expression = runtimeExpression,a4c1b0b3466e9246995504c29cf7e3f1da7f8146,2,1
|| tldAttrs[j].isDeferredMethod() || tldAttrs[j].isDeferredValue()) { // JSP 2.1,a4c1b0b3466e9246995504c29cf7e3f1da7f8146,2,1
if (deferredValueIsLiteral && !pageInfo.isDeferredSyntaxAllowedAsLiteral()) {,a4c1b0b3466e9246995504c29cf7e3f1da7f8146,2,1
if (!deferred && !tldAttrs[j].canBeRequestTime()) {,a4c1b0b3466e9246995504c29cf7e3f1da7f8146,2,1
boolean deferred = false;,a4c1b0b3466e9246995504c29cf7e3f1da7f8146,2,1
if (el.containsEL() && !pageInfo.isELIgnored(),a4c1b0b3466e9246995504c29cf7e3f1da7f8146,2,1
&& ((!pageInfo.isDeferredSyntaxAllowedAsLiteral() && deferred),a4c1b0b3466e9246995504c29cf7e3f1da7f8146,2,1
if (!pageInfo.isDeferredSyntaxAllowedAsLiteral()) {,a4c1b0b3466e9246995504c29cf7e3f1da7f8146,1,0
