line,commit_id,count,line_level_label
* This class is being un-deprecated because we want the query for the customer to happen through Hibernate instead of,94c99119c3821c752b657fe9ca850d1b11fb15db,6,0
"* through raw JDBC, which is the case when <sec:jdbc-user-service /> is used. We need the query to go through Hibernate",94c99119c3821c752b657fe9ca850d1b11fb15db,6,0
* This class is being un-deprecated because we want the query for the customer to happen through Hibernate instead of,94c99119c3821c752b657fe9ca850d1b11fb15db,6,0
"* through raw JDBC, which is the case when <sec:jdbc-user-service /> is used. We need the query to go through Hibernate",94c99119c3821c752b657fe9ca850d1b11fb15db,6,0
protected boolean forcePasswordChange = false;,94c99119c3821c752b657fe9ca850d1b11fb15db,4,1
protected boolean forcePasswordChange = false;,94c99119c3821c752b657fe9ca850d1b11fb15db,4,1
* so that we are able to attach the necessary filters in certain circumstances.,94c99119c3821c752b657fe9ca850d1b11fb15db,3,0
Customer customer = customerService.readCustomerByUsername(username);,94c99119c3821c752b657fe9ca850d1b11fb15db,3,0
boolean roleUserFound = false;,94c99119c3821c752b657fe9ca850d1b11fb15db,3,0
public void setForcePasswordChange(boolean forcePasswordChange) {,94c99119c3821c752b657fe9ca850d1b11fb15db,3,1
public void setCustomerService(CustomerService customerService) {,94c99119c3821c752b657fe9ca850d1b11fb15db,3,1
* so that we are able to attach the necessary filters in certain circumstances.,94c99119c3821c752b657fe9ca850d1b11fb15db,3,0
Customer customer = customerService.readCustomerByUsername(username);,94c99119c3821c752b657fe9ca850d1b11fb15db,3,0
boolean roleUserFound = false;,94c99119c3821c752b657fe9ca850d1b11fb15db,3,0
* Copyright 2008-2013 the original author or authors.,94c99119c3821c752b657fe9ca850d1b11fb15db,3,1
public void setForcePasswordChange(boolean forcePasswordChange) {,94c99119c3821c752b657fe9ca850d1b11fb15db,3,1
public void setCustomerService(CustomerService customerService) {,94c99119c3821c752b657fe9ca850d1b11fb15db,3,1
"@Resource(name = ""blCustomerService"")",94c99119c3821c752b657fe9ca850d1b11fb15db,2,0
"@Resource(name = ""blRoleService"")",94c99119c3821c752b657fe9ca850d1b11fb15db,2,0
"return new User(username, customer.getPassword(), true, true, !customer.isPasswordChangeRequired(), true, grantedAuthorities);",94c99119c3821c752b657fe9ca850d1b11fb15db,2,0
"if (role.getRoleName().equals(""ROLE_USER"")) {",94c99119c3821c752b657fe9ca850d1b11fb15db,2,0
if (!roleUserFound) {,94c99119c3821c752b657fe9ca850d1b11fb15db,2,0
org.broadleafcommerce.profile.core.domain.Customer customer = customerService.readCustomerByUsername(username);,94c99119c3821c752b657fe9ca850d1b11fb15db,2,1
User returnUser = null;,94c99119c3821c752b657fe9ca850d1b11fb15db,2,1
boolean pwChangeRequired = customer.isPasswordChangeRequired();,94c99119c3821c752b657fe9ca850d1b11fb15db,2,1
if (pwChangeRequired) {,94c99119c3821c752b657fe9ca850d1b11fb15db,2,1
if (forcePasswordChange) {,94c99119c3821c752b657fe9ca850d1b11fb15db,2,1
"returnUser = new User(username, customer.getPassword(), true, true, !customer.isPasswordChangeRequired(), true, grantedAuthorities);",94c99119c3821c752b657fe9ca850d1b11fb15db,2,1
} else {,94c99119c3821c752b657fe9ca850d1b11fb15db,2,1
"returnUser = new User(username, customer.getPassword(), true, true, true, true, grantedAuthorities);",94c99119c3821c752b657fe9ca850d1b11fb15db,2,1
"@Resource(name = ""blCustomerService"")",94c99119c3821c752b657fe9ca850d1b11fb15db,2,0
"@Resource(name = ""blRoleService"")",94c99119c3821c752b657fe9ca850d1b11fb15db,2,0
"return new CustomerUserDetails(customer.getId(), username, customer.getPassword(), !customer.isDeactivated(), true, !customer.isPasswordChangeRequired(), true, grantedAuthorities);",94c99119c3821c752b657fe9ca850d1b11fb15db,2,0
"if (role.getRoleName().equals(""ROLE_USER"")) {",94c99119c3821c752b657fe9ca850d1b11fb15db,2,0
if (!roleUserFound) {,94c99119c3821c752b657fe9ca850d1b11fb15db,2,0
org.broadleafcommerce.profile.core.domain.Customer customer = customerService.readCustomerByUsername(username);,94c99119c3821c752b657fe9ca850d1b11fb15db,2,1
User returnUser = null;,94c99119c3821c752b657fe9ca850d1b11fb15db,2,1
boolean pwChangeRequired = customer.isPasswordChangeRequired();,94c99119c3821c752b657fe9ca850d1b11fb15db,2,1
if (pwChangeRequired) {,94c99119c3821c752b657fe9ca850d1b11fb15db,2,1
if (forcePasswordChange) {,94c99119c3821c752b657fe9ca850d1b11fb15db,2,1
