line,commit_id,count,line_level_label
"return ""[type="" + type + "" version=\"""" + (version != null? version.length + "" bytes"" : ""n/a"") + ""\""]"";",63fe226fb66056b6c96026aa2d389d8632df64d2,9,1
// queues to buffer data while we are swapping shared key or obtaining key for first time,63fe226fb66056b6c96026aa2d389d8632df64d2,8,1
if(keyPassword == null && storePassword != null) {,63fe226fb66056b6c96026aa2d389d8632df64d2,6,1
"throw new Exception(""Unable to load keystore "" + keyStoreName + "": "" + e);",63fe226fb66056b6c96026aa2d389d8632df64d2,6,1
"throw new Exception(""No Such algorithm "" + keyStoreName + "": "" + e);",63fe226fb66056b6c96026aa2d389d8632df64d2,6,1
"throw new Exception(""Certificate exception "" + keyStoreName + "": "" + e);",63fe226fb66056b6c96026aa2d389d8632df64d2,6,1
"throw new Exception(""Unable to retrieve key '"" + alias + ""' from keystore "" + keyStoreName);",63fe226fb66056b6c96026aa2d389d8632df64d2,6,1
if (members == null || members.isEmpty() || members.get(0) == null) {,63fe226fb66056b6c96026aa2d389d8632df64d2,6,1
if(msg == null || (msg.getLength() == 0 && !encrypt_entire_message) || ((hdr=(EncryptHeader)msg.getHeader(this.id)) == null)),63fe226fb66056b6c96026aa2d389d8632df64d2,6,1
// check if we had some sort of encrypt control header if using supplied key we should not process it,63fe226fb66056b6c96026aa2d389d8632df64d2,6,1
"private byte[] code(byte[] buf, int offset, int length, boolean decode) throws Exception {",63fe226fb66056b6c96026aa2d389d8632df64d2,6,1
if(msg == null || (msg.getLength() == 0 && !encrypt_entire_message) || ((hdr=(EncryptHeader)msg.getHeader(id)) == null)),63fe226fb66056b6c96026aa2d389d8632df64d2,6,1
public static final byte ENCRYPT            = 1 << 0;,63fe226fb66056b6c96026aa2d389d8632df64d2,6,1
* is first generated by the controller (in JGroups terms). When a view change,63fe226fb66056b6c96026aa2d389d8632df64d2,5,1
* own public key. The controller encrypts the secret key with this key and,63fe226fb66056b6c96026aa2d389d8632df64d2,5,1
* process - the view change event also trigger the ENCRYPT layer to queue up,63fe226fb66056b6c96026aa2d389d8632df64d2,5,1
* and down messages until the new key is installed. The previous keys are,63fe226fb66056b6c96026aa2d389d8632df64d2,5,1
"@Property(name=""change_keys"", description=""Generate new symmetric keys on every view change. Default is false. "" +",63fe226fb66056b6c96026aa2d389d8632df64d2,5,1
private String keyPassword=null; // allows to assign keypwd=storepwd if not set (https://issues.jboss.org/browse/JGRP-1375),63fe226fb66056b6c96026aa2d389d8632df64d2,5,1
//I am  keyserver - either first member of group or old key server is no more and,63fe226fb66056b6c96026aa2d389d8632df64d2,5,1
* Sets up the peer for a new keyserver - this is setting queueing to buffer,63fe226fb66056b6c96026aa2d389d8632df64d2,5,1
// to make sure we are not sending with old key,63fe226fb66056b6c96026aa2d389d8632df64d2,5,1
// could be more optimised but this can wait we only need this if not using supplied key,63fe226fb66056b6c96026aa2d389d8632df64d2,5,1
* Does the actual work for decrypting - if version does not match current cipher then tries the previous cipher,63fe226fb66056b6c96026aa2d389d8632df64d2,5,1
"private Message _decrypt(final Cipher cipher, Message msg, boolean decrypt_entire_msg) throws Exception {",63fe226fb66056b6c96026aa2d389d8632df64d2,5,1
downMessageQueue.put(msg); // queue messages if we are waiting for a new key,63fe226fb66056b6c96026aa2d389d8632df64d2,5,1
batch.remove(msg); // a control message will get handled by ENCRYPT and should not be passed up,63fe226fb66056b6c96026aa2d389d8632df64d2,5,1
public static final byte KEY_REQUEST        = 1 << 1;,63fe226fb66056b6c96026aa2d389d8632df64d2,5,1
public static final byte SECRETKEY          = 1 << 2;,63fe226fb66056b6c96026aa2d389d8632df64d2,5,1
public static final byte ENCRYPT_ENTIRE_MSG = 1 << 3;,63fe226fb66056b6c96026aa2d389d8632df64d2,5,1
* public/private key exchange. View changes that identify a new controller will,63fe226fb66056b6c96026aa2d389d8632df64d2,4,1
* This option is suited to an application that does not ship with a known key,63fe226fb66056b6c96026aa2d389d8632df64d2,4,1
* but instead it is generated and distributed by the controller. The secret key,63fe226fb66056b6c96026aa2d389d8632df64d2,4,1
"* occurs, a peer will request the secret key by sending a key request with its",63fe226fb66056b6c96026aa2d389d8632df64d2,4,1
* retained so that messages sent before the view change that are queued can be,63fe226fb66056b6c96026aa2d389d8632df64d2,4,1
* decrypted if the key is different. <br>,63fe226fb66056b6c96026aa2d389d8632df64d2,4,1
* Note: the current version does not support the concept of perfect forward,63fe226fb66056b6c96026aa2d389d8632df64d2,4,1
"private static final String DEFAULT_SYM_ALGO=""AES"";",63fe226fb66056b6c96026aa2d389d8632df64d2,4,1
//	 for client to store server's public Key,63fe226fb66056b6c96026aa2d389d8632df64d2,4,1
private static String getAlgorithm(String s) {,63fe226fb66056b6c96026aa2d389d8632df64d2,4,1
* Initialisation if a supplied key is defined in the properties. This,63fe226fb66056b6c96026aa2d389d8632df64d2,4,1
// must not use default keystore type - as does not support secret keys,63fe226fb66056b6c96026aa2d389d8632df64d2,4,1
// loaded keystore - get the key,63fe226fb66056b6c96026aa2d389d8632df64d2,4,1
* Used to initialise the symmetric key if none is supplied in a keystore.,63fe226fb66056b6c96026aa2d389d8632df64d2,4,1
"log.debug(""initialized symmetric ciphers with secret key ("" + symVersion.length + "" bytes)"");",63fe226fb66056b6c96026aa2d389d8632df64d2,4,1
StringBuilder sb = new StringBuilder(b.length * 2);,63fe226fb66056b6c96026aa2d389d8632df64d2,4,1
for (int i = 0; i < b.length; i++){,63fe226fb66056b6c96026aa2d389d8632df64d2,4,1
