line,commit_id,count,line_level_label
"group = security_group_get_by_name(context, project_id, group_name)",9196b74080d5effd8dcfacce9de7d2dd37fcba1b,5,1
"def security_group_exists(context, project_id, group_name):",9196b74080d5effd8dcfacce9de7d2dd37fcba1b,3,1
msg = _('Security group %s already exists') % name,9196b74080d5effd8dcfacce9de7d2dd37fcba1b,2,0
msg = _('Security group %s already exists') % name,9196b74080d5effd8dcfacce9de7d2dd37fcba1b,2,1
"return IMPL.security_group_exists(context, project_id, group_name)",9196b74080d5effd8dcfacce9de7d2dd37fcba1b,2,1
"group_ref = self.db.security_group_create(context, group)",9196b74080d5effd8dcfacce9de7d2dd37fcba1b,1,0
name = security_group_ref['name'],9196b74080d5effd8dcfacce9de7d2dd37fcba1b,1,0
project_id = security_group_ref['project_id'],9196b74080d5effd8dcfacce9de7d2dd37fcba1b,1,0
"group_ref = self.db.security_group_create(context, group)",9196b74080d5effd8dcfacce9de7d2dd37fcba1b,1,1
"""""""Indicates if a group name exists in a project.""""""",9196b74080d5effd8dcfacce9de7d2dd37fcba1b,1,1
return group is not None,9196b74080d5effd8dcfacce9de7d2dd37fcba1b,1,1
try:,9196b74080d5effd8dcfacce9de7d2dd37fcba1b,0,0
except exception.SecurityGroupExists:,9196b74080d5effd8dcfacce9de7d2dd37fcba1b,0,0
self.raise_group_already_exists(msg),9196b74080d5effd8dcfacce9de7d2dd37fcba1b,0,0
security_group_ref.save(session=session),9196b74080d5effd8dcfacce9de7d2dd37fcba1b,0,0
except db_exc.DBDuplicateEntry:,9196b74080d5effd8dcfacce9de7d2dd37fcba1b,0,0
raise exception.SecurityGroupExists(,9196b74080d5effd8dcfacce9de7d2dd37fcba1b,0,0
"project_id=values['project_id'],",9196b74080d5effd8dcfacce9de7d2dd37fcba1b,0,0
security_group_name=values['name']),9196b74080d5effd8dcfacce9de7d2dd37fcba1b,0,0
"project_id=project_id,",9196b74080d5effd8dcfacce9de7d2dd37fcba1b,0,0
security_group_name=name),9196b74080d5effd8dcfacce9de7d2dd37fcba1b,0,0
return security_group_ref,9196b74080d5effd8dcfacce9de7d2dd37fcba1b,0,0
"if self.db.security_group_exists(context,",9196b74080d5effd8dcfacce9de7d2dd37fcba1b,0,1
"context.project_id, name):",9196b74080d5effd8dcfacce9de7d2dd37fcba1b,0,1
self.raise_group_already_exists(msg),9196b74080d5effd8dcfacce9de7d2dd37fcba1b,0,1
security_group_ref.save(session=session),9196b74080d5effd8dcfacce9de7d2dd37fcba1b,0,1
@require_context,9196b74080d5effd8dcfacce9de7d2dd37fcba1b,0,1
try:,9196b74080d5effd8dcfacce9de7d2dd37fcba1b,0,1
except exception.NotFound:,9196b74080d5effd8dcfacce9de7d2dd37fcba1b,0,1
return False,9196b74080d5effd8dcfacce9de7d2dd37fcba1b,0,1
return security_group_ref,9196b74080d5effd8dcfacce9de7d2dd37fcba1b,0,1
req = fakes.HTTPRequest.blank(path),f200587ce068482ab94e777154de3ac777269fa0,1,0
req = webob.Request.blank(path),f200587ce068482ab94e777154de3ac777269fa0,1,1
import webob,f200587ce068482ab94e777154de3ac777269fa0,0,1
Rescue an instance on this host.,c524508bc58aa561b81c3133526c981cce835a59,5,0
"""""""Rescue an instance on this host.""""""",c524508bc58aa561b81c3133526c981cce835a59,5,1
"def rescue_instance(self, context, instance_id):",c524508bc58aa561b81c3133526c981cce835a59,3,1
"def rescue_instance(self, context, instance_id, **kwargs):",c524508bc58aa561b81c3133526c981cce835a59,2,0
:param rescue_password: password to set on rescue instance,c524508bc58aa561b81c3133526c981cce835a59,2,0
"""""""",c524508bc58aa561b81c3133526c981cce835a59,1,0
"instance_ref.admin_pass = kwargs.get('rescue_password',",c524508bc58aa561b81c3133526c981cce835a59,1,0
utils.generate_password(FLAGS.password_length)),c524508bc58aa561b81c3133526c981cce835a59,0,0
"flags.DEFINE_integer('password_length', 12,",c524508bc58aa561b81c3133526c981cce835a59,0,1
'Length of generated admin passwords'),c524508bc58aa561b81c3133526c981cce835a59,0,1
"fpath = self._append_to_file(data, console_log)",a3d003d7ec92f3ae23a667954a790c71efdbfdbe,2,0
# Xen is special,a3d003d7ec92f3ae23a667954a790c71efdbfdbe,2,1
"fpath = self._append_to_file(data, console_log)",a3d003d7ec92f3ae23a667954a790c71efdbfdbe,2,1
"def _flush_libvirt_console(self, pty):",a3d003d7ec92f3ae23a667954a790c71efdbfdbe,1,0
"out, err = utils.execute('dd',",a3d003d7ec92f3ae23a667954a790c71efdbfdbe,1,0
"'if=%s' % pty,",a3d003d7ec92f3ae23a667954a790c71efdbfdbe,1,0
check_exit_code=False),a3d003d7ec92f3ae23a667954a790c71efdbfdbe,1,0
return out,a3d003d7ec92f3ae23a667954a790c71efdbfdbe,1,0
virt_dom = self._lookup_by_name(instance['name']),a3d003d7ec92f3ae23a667954a790c71efdbfdbe,1,0
xml = virt_dom.XMLDesc(0),a3d003d7ec92f3ae23a667954a790c71efdbfdbe,1,0
tree = ElementTree.fromstring(xml),a3d003d7ec92f3ae23a667954a790c71efdbfdbe,1,0
"node = tree.find(""./devices/console[@type='file']/source"")",a3d003d7ec92f3ae23a667954a790c71efdbfdbe,1,0
if node is not None:,a3d003d7ec92f3ae23a667954a790c71efdbfdbe,1,0
"fpath = node.get(""path"")",a3d003d7ec92f3ae23a667954a790c71efdbfdbe,1,0
return libvirt_utils.load_file(fpath),a3d003d7ec92f3ae23a667954a790c71efdbfdbe,1,0
"# else if there is a PTY, then try to read latest data from that",a3d003d7ec92f3ae23a667954a790c71efdbfdbe,1,0
"node = tree.find(""./devices/console[@type='pty']/source"")",a3d003d7ec92f3ae23a667954a790c71efdbfdbe,1,0
if node is None:,a3d003d7ec92f3ae23a667954a790c71efdbfdbe,1,0
"pty = node.get(""path"")",a3d003d7ec92f3ae23a667954a790c71efdbfdbe,1,0
data = self._flush_libvirt_console(pty),a3d003d7ec92f3ae23a667954a790c71efdbfdbe,1,0
"def _flush_libvirt_console(self, virsh_output):",a3d003d7ec92f3ae23a667954a790c71efdbfdbe,1,1
virsh_output = virsh_output[0].strip(),a3d003d7ec92f3ae23a667954a790c71efdbfdbe,1,1
"out, err = utils.execute('dd',",a3d003d7ec92f3ae23a667954a790c71efdbfdbe,1,1
"'if=%s' % virsh_output,",a3d003d7ec92f3ae23a667954a790c71efdbfdbe,1,1
check_exit_code=False),a3d003d7ec92f3ae23a667954a790c71efdbfdbe,1,1
return out,a3d003d7ec92f3ae23a667954a790c71efdbfdbe,1,1
return '',a3d003d7ec92f3ae23a667954a790c71efdbfdbe,1,1
"virsh_output = utils.execute('virsh',",a3d003d7ec92f3ae23a667954a790c71efdbfdbe,1,1
data = self._flush_libvirt_console(virsh_output),a3d003d7ec92f3ae23a667954a790c71efdbfdbe,1,1
# LXC is also special,a3d003d7ec92f3ae23a667954a790c71efdbfdbe,1,1
fpath = console_log,a3d003d7ec92f3ae23a667954a790c71efdbfdbe,1,1
"'iflag=nonblock',",a3d003d7ec92f3ae23a667954a790c71efdbfdbe,0,0
"run_as_root=True,",a3d003d7ec92f3ae23a667954a790c71efdbfdbe,0,0
# If the guest has a console logging to a file prefer to use that,a3d003d7ec92f3ae23a667954a790c71efdbfdbe,0,0
"raise exception.Error(_(""Guest does not have a console available""))",a3d003d7ec92f3ae23a667954a790c71efdbfdbe,0,0
